D
Ministry of Health Madagascar,0.5294117647058824
World Food Programme,0.5294117647058824
UNICEF,0.8235294117647058
Ministry of Health,0.11764705882352941
Institut Pasteur Dakar,0.47058823529411764
Red Crescent societies,0.5882352941176471
WHO,0.11764705882352941
ICG,0.47058823529411764
Institut de veille sanitaire,0.5294117647058824
Reference and Research on Influenza London,0.5294117647058824
Institut Pasteur France,0.5294117647058824
WHO_AFRO,0.8235294117647058
WHO HQ,0.8235294117647058
Ministry of Health Senegal ,0.47058823529411764
MSF,0.47058823529411764
MSF Belgium,0.11764705882352941
CDC Atlanta,0.5294117647058824
WHO Collaborating Centre,0.8235294117647058
C
Ministry of Health Madagascar,0.6068111455108358
World Food Programme,0.6068111455108358
UNICEF,0.8235294117647058
Ministry of Health,0.11764705882352941
Institut Pasteur Dakar,0.5764705882352941
Red Crescent societies,0.5764705882352941
WHO,0.11764705882352941
ICG,0.5764705882352941
Institut de veille sanitaire,0.6068111455108358
Reference and Research on Influenza London,0.6068111455108358
Institut Pasteur France,0.6068111455108358
WHO_AFRO,0.8235294117647058
WHO HQ,0.8235294117647058
Ministry of Health Senegal ,0.5764705882352941
MSF,0.5764705882352941
MSF Belgium,0.11764705882352941
CDC Atlanta,0.6068111455108358
WHO Collaborating Centre,0.8235294117647058
B
Ministry of Health Madagascar,0.004010695187165775
World Food Programme,0.004010695187165775
UNICEF,0.05514705882352941
Ministry of Health,0.0
Institut Pasteur Dakar,0.004010695187165775
Red Crescent societies,0.0
WHO,0.0
ICG,0.004010695187165775
Institut de veille sanitaire,0.004010695187165775
Reference and Research on Influenza London,0.004010695187165775
Institut Pasteur France,0.004010695187165775
WHO_AFRO,0.05514705882352941
WHO HQ,0.05514705882352941
Ministry of Health Senegal ,0.004010695187165775
MSF,0.004010695187165775
MSF Belgium,0.0
CDC Atlanta,0.004010695187165775
WHO Collaborating Centre,0.05514705882352941
A
L
Ministry of Health Madagascar,1.0
World Food Programme,1.0
UNICEF,0.6703296703296703
Ministry of Health,1.0
Institut Pasteur Dakar,1.0
Red Crescent societies,1.0
WHO,1.0
ICG,1.0
Institut de veille sanitaire,1.0
Reference and Research on Influenza London,1.0
Institut Pasteur France,1.0
WHO_AFRO,0.6703296703296703
WHO HQ,0.6703296703296703
Ministry of Health Senegal ,1.0
MSF,1.0
MSF Belgium,1.0
CDC Atlanta,1.0
WHO Collaborating Centre,0.6703296703296703
